City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last three hours),Snow inches (last three hours)
0,Bismarck,US,2019-11-11 01:23:58,46.81,-100.78,10.4,77,90,9.17,overcast clouds,0.0,0.0
1,Busselton,AU,2019-11-11 01:28:13,-33.64,115.35,69.01,36,10,11.25,clear sky,0.0,0.0
2,Jamestown,AU,2019-11-11 01:28:14,-33.21,138.6,78.06,13,0,18.03,clear sky,0.0,0.0
3,Kolokani,ML,2019-11-11 01:28:24,13.58,-8.03,80.65,46,63,2.53,broken clouds,0.0,0.0
4,Luderitz,NA,2019-11-11 01:28:32,-26.65,15.16,59.0,87,7,1.81,clear sky,0.0,0.0
5,Mount Isa,AU,2019-11-11 01:28:35,-20.73,139.49,95.0,6,94,9.17,overcast clouds,0.0,0.0
6,Nhulunbuy,AU,2019-11-11 01:28:36,-12.18,136.78,91.4,38,8,9.17,clear sky,0.0,0.0
7,Los Llanos De Aridane,ES,2019-11-11 01:28:37,28.66,-17.92,69.8,68,75,21.92,broken clouds,0.0,0.0
8,Lebu,ET,2019-11-11 01:28:40,8.96,38.73,59.0,58,75,6.93,broken clouds,0.0,0.0
9,Oussouye,SN,2019-11-11 01:28:43,12.49,-16.54,77.0,88,99,2.24,overcast clouds,0.0,0.0
10,Sinor,IN,2019-11-11 01:28:44,21.91,73.34,73.4,88,40,4.7,haze,0.0,0.0
11,Carnarvon,ZA,2019-11-11 01:28:45,-30.97,22.13,62.31,54,48,10.09,scattered clouds,0.0,0.0
12,Salgueiro,BR,2019-11-11 01:28:48,-8.07,-39.12,81.12,48,59,20.02,broken clouds,0.0,0.0
13,Wenling,CN,2019-11-11 01:28:50,28.38,121.38,63.0,78,0,1.01,clear sky,0.0,0.0
14,Montes Claros,BR,2019-11-11 01:29:12,-16.73,-43.87,74.61,34,35,2.66,scattered clouds,0.0,0.0
15,Codrington,AU,2019-11-11 01:29:24,-28.95,153.24,81.0,39,0,5.82,clear sky,0.0,0.0
16,Dubbo,AU,2019-11-11 01:29:26,-32.25,148.6,78.8,24,46,11.41,scattered clouds,0.0,0.0
17,Pevek,RU,2019-11-11 01:29:27,69.7,170.27,11.75,76,94,1.61,overcast clouds,0.0,0.0
18,Khani,GE,2019-11-11 01:29:28,41.96,42.96,59.0,28,0,12.75,clear sky,0.0,0.0
19,Puerto Ayora,EC,2019-11-11 01:29:31,-0.74,-90.35,75.2,69,75,13.87,broken clouds,0.0,0.0
20,Yulara,AU,2019-11-11 01:29:34,-25.24,130.99,91.4,5,50,8.05,scattered clouds,0.0,0.0
21,Gurlan,UZ,2019-11-11 01:29:37,41.84,60.39,33.8,80,0,16.11,clear sky,0.0,0.0
22,Oranzherei,RU,2019-11-11 01:29:39,45.85,47.57,44.6,75,27,11.18,scattered clouds,0.0,0.0
23,Salinas,US,2019-11-11 01:29:41,36.67,-121.66,68.0,87,40,9.35,scattered clouds,0.0,0.0
24,Podor,MR,2019-11-11 01:29:43,16.65,-14.96,86.0,25,82,2.24,broken clouds,0.0,0.0
25,San Quintin,PH,2019-11-11 01:29:48,17.54,120.52,75.99,82,1,3.89,clear sky,0.0,0.0
26,Calama,CL,2019-11-11 01:29:50,-22.46,-68.93,60.8,12,72,10.29,broken clouds,0.0,0.0
27,Ati,TD,2019-11-11 01:29:52,13.21,18.34,80.42,14,61,7.87,broken clouds,0.0,0.0
