City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last three hours),Snow inches (last three hours)
0,Araouane,ML,2019-11-10 23:26:48,18.9,-3.53,76.3,13,100,11.99,overcast clouds,0.0,0.0
1,Fortuna,US,2019-11-10 23:26:51,40.6,-124.16,66.0,76,1,11.41,clear sky,0.0,0.0
2,Jamestown,AU,2019-11-10 23:24:57,-33.21,138.6,78.49,13,0,18.3,clear sky,0.0,0.0
3,Port Augusta,AU,2019-11-10 23:33:04,-32.49,137.76,82.4,14,0,21.92,clear sky,0.0,0.0
4,Lebu,ET,2019-11-10 23:23:38,8.96,38.73,50.61,75,37,1.61,scattered clouds,0.0,0.0
5,Qaanaaq,GL,2019-11-10 23:25:01,77.48,-69.36,-0.73,37,0,5.32,clear sky,0.0,0.0
6,Esperance,AU,2019-11-10 23:31:25,-33.86,121.89,57.2,62,75,13.87,broken clouds,0.0,0.0
7,Pokhara,NP,2019-11-10 23:33:20,28.21,83.99,58.51,84,0,2.53,clear sky,0.0,0.0
8,Kassala,SD,2019-11-10 23:33:23,15.45,36.38,81.25,19,0,7.78,clear sky,0.0,0.0
9,Carnarvon,ZA,2019-11-10 23:26:03,-30.97,22.13,61.45,55,28,9.78,scattered clouds,0.0,0.0
10,Okhotsk,RU,2019-11-10 23:33:37,59.36,143.24,11.62,82,96,7.9,overcast clouds,0.0,0.0
11,Busselton,AU,2019-11-10 23:33:41,-33.64,115.35,62.01,48,0,11.34,clear sky,0.0,0.0
12,Sydney,AU,2019-11-10 23:30:17,-33.85,151.22,75.99,46,40,9.17,scattered clouds,0.0,0.0
13,Broken Hill,AU,2019-11-10 23:30:05,-31.97,141.45,77.0,13,0,14.99,clear sky,0.0,0.0
14,Apple Valley,US,2019-11-10 23:33:45,34.5,-117.19,96.8,12,1,3.36,clear sky,0.0,0.0
15,Port Hedland,AU,2019-11-10 23:33:48,-20.31,118.58,78.8,61,48,6.93,scattered clouds,0.0,0.0
16,Copiapo,CL,2019-11-10 23:33:54,-27.37,-70.33,60.8,72,75,9.17,broken clouds,0.0,0.0
17,Bharatpur,IN,2019-11-10 23:33:59,27.22,77.5,68.13,48,0,3.51,clear sky,0.0,0.0
18,Chifeng,CN,2019-11-10 23:31:57,42.27,118.96,35.76,53,0,7.9,clear sky,0.0,0.0
19,Gizo,IL,2019-11-10 23:32:50,31.8,34.94,75.99,35,68,4.7,broken clouds,0.0,0.0
20,Najran,SA,2019-11-10 23:29:28,17.54,44.22,66.2,34,0,3.71,clear sky,0.0,0.0
21,Yulara,AU,2019-11-10 23:26:31,-25.24,130.99,77.0,7,42,5.82,scattered clouds,0.0,0.0
22,Kutum,SD,2019-11-10 23:34:14,14.2,24.66,65.71,26,1,4.21,clear sky,0.0,0.0
